program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
20,0,22.0,177.8,110.0,1400.0,4000.0,. Non-profit or Government Agency,No,700,1. Walk,0,100,68,11.12,0,8,10,10,0,Yes,No,0.0,1.778,34.79598795932286,0.0,700010068
20,0,24.0,175.0,63.0,2000.0,3750.0,. Small Company,Yes,300,3. Drive,600,150,60,9.5,0,8,7,20,0,Yes,Yes,2.0,1.75,20.571428571428573,14.0,30060015060
20,0,24.0,182.88,100.0,2000.0,3500.0,. Small Company,Yes,$200,3. Drive,$100,$150,$82,10.5,1,6,20,20,8,Yes,No,0.0,1.8288,29.899751157527007,0.0,$200$100$150$82
20,0,34.0,162.56,61.3,2500.0,3500.0,. Large Corporation,Yes,300,3. Drive,500,400,70,7,0,7-8,14,20,0,Yes,No,1.0,1.6256,23.197067878510758,7.0,30050040070
20,0,24.0,160.0,54.0,0.0,3800.0,. Small Company,Yes,500,3. Drive,300,100,90,size 8 in inches,0-3,6-7,6 hours,11 hours,0,Yes,Yes,1.0,1.6,21.093749999999996,7.0,50030010090
20,0,24.0,164.0,65.0,2500.0,5000.0,. Small Company,Yes,500,2. Public Transport,40,150,55,9.25,0,7,20,25,0,Yes,Yes,0.0,1.64,24.167162403331353,0.0,5004015055
20,0,27.0,153.0,55.0,2300.0,3000.0,. Small Company,No,$400,3. Drive,$600,$100,$120,6,0,7,8,25,12,Yes,Yes,1.0,1.53,23.49523687470631,7.0,$400$600$100$120
20,0,22.0,155.45,50.0,1600.0,2500.0,. Large Corporation,No,500,2. Public Transport,0,30,95,9.5,0,10,5,40,0,No,No,3.0,1.5545,20.691336878655964,21.0,50003095
20,0,24.0,165.0,58.0,0.0,3000.0,. Large Corporation,Yes,1000,3. Drive,150,60,0,14,0,7,25,40,8,Yes,No,1.0,1.65,21.30394857667585,7.0,1000150600
20,0,23.0,179.0,86.0,2500.0,3200.0,. Small Company,Yes,400,3. Drive,340,250,60,10.25,5,7,2,24,8,No,Yes,3.0,1.79,26.840610467838083,21.0,40034025060
